IGN,region,rank_rating,_ability_1_casts,_ability_1_casts/match,_ability_1_casts/round,_ability_2_casts,_ability_2_casts/match,_ability_2_casts/round,_aces,_acs,_assists,_assists/match,_assists/round,_clutch,_clutches,_clutches__1v1,_clutches__1v2,_clutches__1v3,_,_clutches_lost__1v2,_clutches_lost__1v3,_clutches_lost__1v4,_clutches_lost__1v5,_damage,_damage_delta_δ,_damage_received,_damage/match,_damage/minute,_damage/round,_ddδ/round,_dealt_bodyshots,_dealt_headshots,_dealt_legshots,_deaths,_deaths/match,_deaths/round,_defuses,_disconnects,_econ_rating,_econ_rating/round,_esr,_first_bloods,_first_bloods/match,_first_bloods/round,_first_deaths,_first_deaths/round,_flawless_rounds,_grenade_casts,_grenade_casts/match,_grenade_casts/round,_headshot,_headshots,_headshots/round,_k/d_ratio,_kad_ratio,_kast,_kda_ratio,_kills,_kills/match,_kills/round,_last_deaths,_losses,_matches_played,_most_kills__match,_multikills__1k,_multikills__2k,_multikills__3k,_multikills__4k,_multikills__5k,_multikills__6k,_mvps,_plants,_received_bodyshots,_received_headshots,_received_legshots,_rounds_lost,_rounds_played,_rounds_survived,_rounds_traded,_rounds_won,_score,_score/match,_suicides,_team_aces,_thrifty_rounds,_ties,_time_played,_ultimate_casts,_ultimate_casts/match,_ultimate_casts/round,_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins
SEN nightz#aim,na,"1,126",,,,,,,,263.6,"2,140",5.3,0.3,1.9%,164,92,52,13,,141,190,183,97,"1,465,563","251,342","1,214,221","3,618.67",116.7,172.2,30,"9,514","7,589",726,"6,304",15.6,0.7,146,0,"27,074",3.2,0.56,"1,254",3.10,0.1,980,0.1,313,"5,071",12.52,0.6,42.6%,"6,791",0.8,1.27,1.61,75.5%,1.44,"8,018",19.8,0.9,670,139,405,40,"2,595","1,410",621,150,25,3,109,203,"12,562","5,132","1,245","3,878","8,513","2,494","1,599","4,635","2,244,032","5,541",32,80,625,7,209h,"1,261",3.11,0.1,259,67,31m 01s,54.4%,01m 28s,64.0%,253.0,984,0.2,"692,012","56,088","635,924",163.5,13,"3,307",0.51,625,0.1,610,0.1,"3,238",1.15,73.1%,"3,813",0.9,0.50,0.0,50.5%,"2,094","4,233","1,081",893,"2,139","1,071,114",274.0,"1,156",0.3,"773,551","195,254","578,297",180.7,46,"2,997",0.36,0.0,0.63,629,0.1,370,0.1,"3,553",1.40,77.8%,"4,208",1.0,58.3%,"1,784","4,280","1,413",706,"2,496","1,172,918","1,173",910,"1,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the chosen one#mØØda,na,"1,118",,,,,,,,,,,,,,125,,25,,206,244,219,107,"2,342,185","308,327","2,033,858","3,475.05",112.0,165.9,22,"21,417","10,342","1,434","10,833",16.1,0.8,185,0,"44,256",3.1,0.53,"2,417",3.59,0.2,"2,118",0.1,454,"7,894",11.71,0.6,31.2%,"9,475",0.7,1.17,1.42,72.3%,1.29,"12,693",18.8,0.9,860,284,674,38,"4,154","2,230",900,269,58,3,191,323,"21,144","8,563","2,696","6,771","14,121","3,313","2,741","7,350","3,607,497","5,352",23,111,"1,127",8,348h,"1,920",2.85,0.1,382,66,31m 01s,52.1%,01m 28s,56.7%,249.1,"1,257",0.2,"1,140,380","68,443","1,071,937",160.5,10,"5,709",0.47,"1,114",0.2,"1,235",0.2,"4,770",1.09,71.2%,"6,204",0.9,0.48,0.0,48.7%,"3,646","7,104","1,404","1,617","3,458","1,769,365",262.0,"1,393",0.2,"1,201,805","239,884","961,921",171.3,34,"5,118",0.27,0.0,0.60,"1,303",0.2,883,0.1,"4,705",1.27,73.4%,"6,494",0.9,55.5%,"3,125","7,017","1,909","1,124","3,892","1,838,132","1,118",813,"1,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humblegod#1122,na,"1,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVY POPPIN#GUIDE,na,"1,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRÜ Shyy#Flow,na,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSM vora#tay,na,"1,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGGINGLEGEND777#LVgod,na,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100T Cryo#0001,na,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victini#vvv,na,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggsterr#NJLTC,na,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poppinsguide com#BUYYY,na,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make It Happen#tygod,na,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVY Eggsterr#NJLTC,na,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,30m 39s,53.1%,01m 27s,60.2%,242.7,528,0.3,"304,114","6,322","297,792",152.0,3,"1,576",0.47,321,0.2,364,0.2,"1,322",1.07,72.2%,"1,688",0.8,0.38,0.0,50.4%,993,"2,001",426,451,"1,008","485,636",252.9,497,0.2,"320,982","60,623","260,359",161.1,30,"1,376",0.29,0.0,0.62,299,0.2,185,0.1,"1,353",1.28,75.7%,"1,764",0.9,55.8%,880,"1,993",615,275,"1,113","504,098","1,341",836,939,"3,181",16.65,0.8,"6,341",33.20,1.6,10,247.8,"1,027",5.4,0.3,1.9%,76,42,22,8,,72,104,70,49,"625,096","66,945","558,151","3,272.75",106.7,156.5,17,"7,449","3,212",765,"2,952",15.5,0.7,56,0,"11,451",2.9,0.53,620,3.25,0.2,549,0.1,133,"2,633",13.79,0.7,28.1%,"2,675",0.7,1.17,1.52,73.9%,1.34,"3,452",18.1,0.9,313,72,191,34,"1,196",652,214,65,10,0,43,73,"5,756","2,420",631,"1,873","3,994","1,041",726,"2,121","989,734","5,182",0,35,747,4,97h,560,2.93,0.1,115
C9 MCDS WORKER#FRIES,na,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG supamen#612,na,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV Rossy#Amen,na,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttv jowa#sama,na,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
